gene_id	batch_1	batch_2	batch_3	chemostat_1	chemostat_2	chemostat_3
gene_2416	223	269	205	175	205	210
gene_2417	2048	3135	2116	1310	1388	1520
gene_2418	299	442	305	178	221	262
gene_2419	2561	3481	2719	918	1076	1520
gene_2420	316	248	191	1082	2140	2943
gene_2421	78	74	61	267	316	454
gene_2422	22	24	16	18	26	15
gene_2423	0	0	0	0	0	0
gene_2424	197	272	180	112	102	109
gene_2425	0	0	0	0	0	0
gene_2427	2999	4374	3206	985	1240	1539
gene_2428	300	422	301	279	285	386
gene_2429	3	5	4	0	0	1
gene_2431	613	675	445	297	312	442
gene_2432	164	215	168	112	129	181
gene_2433	825	1091	778	668	704	949
gene_2434	169	196	131	167	197	272
gene_2435	208	215	170	106	137	176
gene_2436	495	664	468	263	266	411
gene_2437	540	717	570	449	489	620
gene_2438	295	322	231	158	168	216
gene_2439	403	628	376	239	248	299
gene_2440	439	607	461	249	288	311
gene_2442	186	216	148	459	502	688
gene_2443	7	9	3	78	85	115
gene_2444	2372	2962	2298	1859	2388	3154
gene_2445	216	294	237	50	46	53
gene_2446	1368	2072	1577	1023	1172	1457
gene_2447	182	258	158	109	150	195
gene_2448	1289	1698	1362	2346	3424	4432
gene_2450	266	339	251	180	193	272
gene_2451	1158	1362	954	1353	1491	2154
gene_2452	1017	1464	1093	853	1168	1317
gene_2453	1484	2139	1506	666	784	949
gene_2454	964	1260	905	835	1008	1425
gene_2455	619	762	590	263	309	432
gene_2456	193	207	163	129	145	188
gene_2458	2195	2109	1501	1490	1549	1801
gene_2460	1012	1434	1016	398	413	504
gene_2461	77980	107783	83153	35327	55897	69550
gene_2462	490	659	503	479	525	659
gene_2463	216	232	150	363	399	487
gene_2464	222	287	241	143	121	160
gene_2465	354	457	338	423	467	669
gene_2466	154	187	139	208	245	269
gene_2467	328	464	367	188	226	249
gene_2468	658	954	589	464	535	710
gene_2469	901	1206	900	416	447	624
gene_2470	78	88	76	209	352	454
gene_2471	518	654	496	343	393	587
gene_2472	204	225	170	187	194	286
gene_2473	5947	8532	6846	1843	1944	2409
gene_2474	7	6	10	13	12	8
gene_2475	116	167	92	241	255	316
gene_2476	68	99	58	71	119	97
gene_2477	837	1078	766	443	529	716
gene_2478	934	1341	945	179	210	263
gene_2479	577	774	460	667	845	1142
gene_2480	803	1194	836	450	463	609
gene_2481	956	1375	1056	753	1093	1315
gene_2482	84	85	73	86	99	137
gene_2483	58	67	35	52	63	65
gene_2484	6340	8634	6595	2192	2587	3439
gene_2485	269	366	250	205	240	363
gene_2486	298	434	282	194	232	302
gene_2487	421	616	395	293	272	334
gene_2489	1103	1632	1116	862	1036	1165
gene_2490	477	615	425	334	383	500
gene_2491	148	207	132	125	135	157
gene_2494	260	281	208	194	279	337
gene_2495	194	221	161	230	282	378
gene_2496	109	122	99	111	110	128
gene_2497	18	11	5	47	91	120
gene_2498	382	569	406	234	245	298
gene_2499	1481	2069	1459	958	933	1362
gene_2500	43	44	37	136	180	258
gene_2501	1456	1944	1381	1335	1648	2085
gene_2502	222	353	260	235	284	328
gene_2503	369	550	388	328	451	463
gene_2504	8165	11858	9116	3051	2648	3504
gene_2505	423	485	348	543	662	877
gene_2506	4	4	2	596	916	1275
gene_2507	302	390	269	290	367	465
gene_2508	304	471	326	215	224	319
gene_2509	311	397	340	385	394	540
gene_2510	5143	7150	5485	2323	3208	3626
gene_2511	49	57	44	26	29	37
gene_2512	332	437	318	267	343	383
gene_2513	99	67	30	1364	1478	2061
gene_2514	983	1172	872	2882	3246	4110
gene_2515	935	1291	1097	484	555	751
gene_2516	296	430	337	294	383	563
gene_2517	141	177	123	126	163	213
gene_2518	24	29	28	412	735	863
gene_2519	43	60	34	36	67	62
gene_2520	554	566	428	1283	1596	2025
gene_2521	156	216	160	102	134	189
gene_2522	363	477	372	274	289	403
gene_2523	1336	1724	1210	994	1258	1616
gene_2524	4840	5551	4159	7745	14241	17687
gene_2525	383	441	324	318	421	475
gene_2527	52	41	44	1699	2855	3544
gene_2528	390	590	362	240	226	336
gene_2529	273	410	312	345	460	655
gene_2530	1419	1514	1021	692	742	1047
gene_2531	708	997	715	344	409	529
gene_2532	311	442	295	166	206	305
gene_2533	160	178	108	115	167	180
gene_2534	2327	3398	2634	716	812	1135
gene_2535	439	567	504	419	447	630
gene_2536	978	1304	974	511	608	784
gene_2537	135	180	128	155	179	231
gene_2538	957	1434	1055	779	908	1103
gene_2539	531	695	549	355	400	526
gene_2540	455	677	379	156	193	254
gene_2541	1	1	3	2	6	4
gene_2542	443	610	475	392	418	607
gene_2543	244	249	210	173	163	255
gene_2544	461	621	441	329	422	603
gene_2545	297	384	324	195	268	371
gene_2546	150	220	154	143	185	242
gene_2547	3346	4684	3309	1669	1745	2015
gene_2548	492	613	485	197	204	336
gene_2549	418	619	457	393	525	748
gene_2550	6472	7085	4652	3877	5043	6025
gene_2551	236	328	238	104	125	152
gene_2552	1034	1476	966	808	1130	1341
gene_2553	2745	3852	2946	888	1059	1421
gene_2554	956	1130	983	586	790	1008
gene_2555	162	178	114	139	147	189
gene_2556	85	114	75	128	136	142
gene_2557	133	137	104	1622	1917	2270
gene_2558	56	45	18	996	1173	1344
gene_2559	2	11	5	5	1	5
gene_2560	856	955	661	591	706	921
gene_2561	97	149	127	93	96	117
gene_2562	78	90	69	76	87	135
gene_2563	4	8	4	4	8	3
gene_2564	0	0	0	0	0	0
gene_2565	4	4	7	5	4	6
gene_2566	0	0	0	0	0	0
gene_2567	1	1	1	0	0	0
gene_2568	12	10	5	18	7	11
gene_2569	43	53	31	151	140	119
gene_2570	50	68	41	180	180	163
gene_2571	1	2	1	6	3	3
gene_2572	263	673	201	459	295	298
gene_2573	486	665	495	318	393	420
gene_2574	348	425	297	247	259	338
gene_2575	5	3	1	3	1	3
gene_2576	357	457	378	199	283	327
gene_2577	321	611	203	262	280	317
gene_2578	1874	2487	1818	1651	2010	2509
gene_2579	4783	6517	4993	1690	2085	2570
gene_2580	342	463	343	2063	2022	2460
gene_2581	223	290	243	273	268	327
gene_2582	1062	1582	1123	627	750	899
gene_2583	301	428	316	293	357	514
gene_2584	282	346	266	62	106	114
gene_2585	709	758	640	700	889	1164
gene_2586	102	130	106	75	88	90
gene_2587	401	455	312	305	307	493
gene_2588	167	197	138	1154	1567	1807
gene_2589	501	712	528	378	412	495
gene_2591	34	35	26	15	18	24
gene_2592	320	197	169	642	700	858
gene_2593	672	799	625	612	614	821
gene_2594	199	262	197	161	206	272
gene_2595	21	35	27	30	40	48
gene_2596	429	643	458	248	375	415
gene_2597	62	80	58	272	333	415
gene_2598	2	8	7	15	18	23
gene_2599	14130	19239	14075	3091	3586	5012
gene_2600	204	202	149	124	160	164
gene_2601	221	337	245	168	145	201
gene_2602	71	84	61	76	100	120
gene_2603	1287	1828	1376	522	630	800
gene_2604	97	156	104	171	210	270
gene_2605	135	176	152	136	191	209
gene_2607	1	2	2	4	5	3
gene_2608	0	0	0	0	0	0
gene_2609	28	28	13	41	47	65
gene_2610	802	1147	864	417	493	528
gene_2611	42	51	29	34	35	38
gene_2612	2	0	0	0	1	2
gene_2613	800	986	651	390	466	591
gene_2614	1118	1645	1025	445	516	596
gene_2615	281	356	257	279	340	432
gene_2616	2205	2991	2165	763	998	1288
gene_2617	427	599	459	420	461	599
gene_2618	802	986	644	1383	1547	2048
gene_2619	100	117	98	120	130	170
gene_2620	401	540	401	194	263	337
gene_2621	210	295	224	234	264	386
gene_2622	577	752	594	467	502	712
gene_2623	1384	1615	1126	610	722	922
gene_2625	469	551	399	691	826	1003
gene_2626	6845	9025	6545	5369	7371	10053
gene_2627	10	11	10	20	19	35
gene_2628	1039	1115	1000	1991	2507	3301
gene_2629	890	1201	845	614	700	861
gene_2630	9032	12446	8093	1967	2201	2997
gene_2631	235	241	151	175	172	250
gene_2632	437	568	417	242	254	392
gene_2633	368	493	353	192	195	265
gene_2634	25	40	28	35	32	38
gene_2637	75	86	60	33	64	62
gene_2638	255	296	216	372	484	587
gene_2639	301	391	246	274	357	436
gene_2640	4396	6182	4728	3211	3880	4828
gene_2641	2854	4041	3066	1246	1444	1634
gene_2642	2428	3320	2608	843	1114	1350
gene_2644	3727	5048	3613	969	1213	1815
gene_2645	6	9	5	4	6	9
gene_2646	10	9	9	7	15	16
gene_2647	9	7	1	1	0	0
gene_2648	680	1001	735	453	505	579
gene_2649	731	1015	716	383	412	516
gene_2650	1305	1830	1443	671	647	828
gene_2651	1165	1603	1107	414	511	663
gene_2652	3633	5081	3989	2976	3462	5418
gene_2653	1054	1463	1007	843	963	1232
gene_2654	336	486	381	288	346	478
gene_2655	627	567	397	447	536	667
gene_2656	246	287	244	151	188	165
gene_2657	683	823	632	202	239	340
gene_2658	169	171	130	455	421	501
gene_2659	136	184	138	137	166	238
gene_2660	46	57	31	47	62	55
gene_2661	213	252	190	107	122	160
gene_2662	819	1085	831	793	989	1219
gene_2663	158	164	125	142	172	240
gene_2664	1836	2615	1805	767	844	1144
gene_2665	1273	1660	1165	557	578	788
gene_2666	244	281	190	156	210	243
gene_2667	222	287	184	102	110	140
gene_2668	1816	2499	1723	707	745	882
gene_2669	254	287	195	214	216	330
gene_2670	59	66	33	39	60	55
gene_2671	555	739	508	269	324	410
gene_2672	281	368	294	133	132	159
gene_2673	463	657	483	602	683	872
gene_2674	117	101	107	102	100	127
gene_2675	581	635	556	119	136	134
gene_2676	373	535	369	317	311	393
gene_2677	53	77	50	54	69	92
gene_2678	1407	1632	1190	1717	2160	2563
gene_2679	860	1209	859	329	365	490
gene_2681	0	0	0	0	0	0
gene_2682	47	61	38	48	64	67
gene_2684	0	0	0	0	0	0
gene_2685	334	489	330	255	344	404
gene_2686	480	553	399	516	613	784
gene_2687	136	156	117	90	91	132
gene_2688	239	295	184	125	150	197
gene_2689	222	276	222	146	188	268
gene_2690	106	147	105	118	143	152
gene_2691	217	303	241	103	126	159
gene_2692	648	877	589	263	298	429
gene_2693	2751	3702	2810	1179	1411	1864
gene_2694	680	936	684	267	370	468
gene_2695	523	766	573	231	318	379
gene_2696	165	252	171	176	194	234
gene_2697	1484	2034	1450	269	369	423
gene_2698	352	506	349	204	264	337
gene_2699	347	449	369	149	129	208
gene_2700	441	403	351	646	729	789
gene_2702	1162	1598	1208	701	787	1014
gene_2703	973	1330	920	413	489	788
gene_2704	961	1242	910	658	709	823
gene_2705	832	1174	909	836	906	1100
gene_2706	69	82	70	156	212	277
gene_2707	404	524	376	317	340	428
gene_2708	996	1265	1026	785	959	1130
gene_2709	364	483	342	236	268	344
gene_2710	387	551	366	307	411	472
gene_2711	2	2	0	3	8	20
gene_2712	402	542	384	362	459	619
gene_2713	287	360	292	205	273	424
gene_2714	775	1076	785	749	968	1149
gene_2715	372	451	358	258	249	355
gene_2716	456	588	410	260	287	338
gene_2717	201	300	239	87	92	168
gene_2718	316	377	275	276	302	395
gene_2719	8	6	1	3	3	1
gene_2720	166	41	33	573	895	961
gene_2721	299	467	346	250	281	342
gene_2722	1670	2201	1715	500	464	759
gene_2723	157	229	169	233	269	382
gene_2724	368	536	373	289	298	406
gene_2725	9736	9784	6172	379	480	713
gene_2726	5	6	8	8	11	22
gene_2727	534	748	724	99	103	141
gene_2728	121	69	58	6409	9122	10442
gene_2729	281	201	167	704	879	1172
gene_2730	1038	1435	1001	616	673	779
gene_2731	1213	1695	1260	525	681	839
gene_2732	138	179	133	152	143	192
gene_2733	139	186	111	126	145	224
gene_2734	325	517	375	377	392	452
gene_2735	524	717	562	385	415	539
gene_2736	425	443	325	801	1130	1239
gene_2737	57	59	46	95	118	131
gene_2738	210	300	192	476	643	898
gene_2739	522	680	479	392	471	640
gene_2740	856	1169	854	520	572	787
gene_2741	126	157	130	124	156	187
gene_2742	322	433	303	325	390	487
gene_2743	379	474	366	331	429	489
gene_2744	988	1276	945	503	587	753
gene_2745	411	588	408	607	626	750
gene_2746	356	470	362	350	363	478
gene_2747	413	577	400	287	321	459
gene_2748	148	165	131	125	164	212
gene_2749	497	752	519	318	319	440
gene_2750	178	238	159	150	175	199
gene_2751	419	646	471	294	341	421
gene_2752	351	423	326	171	206	232
gene_2753	568	802	500	340	353	483
gene_2754	377	507	355	298	365	442
gene_2755	460	631	411	119	142	159
gene_2756	87	78	60	106	114	106
gene_2758	3	0	2	3	4	6
gene_2759	3	2	3	76	152	197
gene_2760	268	311	232	183	195	226
gene_2761	656	857	701	192	263	296
gene_2762	171	227	174	122	119	170
gene_2763	29	19	23	13	22	23
gene_2764	296	423	278	270	317	394
gene_2765	681	946	607	546	648	801
gene_2766	187	221	165	413	473	615
gene_2767	631	823	567	192	192	281
gene_2768	111	114	86	75	69	112
gene_2769	925	1207	827	790	925	1141
gene_2770	11	1	2	9	9	11
gene_2771	35	20	22	843	896	1041
gene_2772	151	160	117	604	773	1123
gene_2773	27	37	22	286	707	920
gene_2774	9	7	4	22	35	47
gene_2775	47	36	22	81	106	152
gene_2777	5843	8422	5425	1389	1705	2285
gene_2778	585	722	419	312	316	411
gene_2779	2194	2927	2024	638	738	872
gene_2780	531	703	436	223	255	360
gene_2781	175	256	185	55	86	102
gene_2783	945	1378	1011	1170	1385	1826
gene_2784	483	517	377	273	278	439
gene_2785	259	363	252	103	140	155
gene_2786	594	827	612	299	301	401
gene_2787	180	197	136	318	360	446
gene_2788	139	210	147	112	119	144
gene_2789	204	277	245	208	249	281
gene_2790	29	38	15	13	28	36
gene_2791	598	846	561	308	385	519
gene_2792	318	495	343	304	310	371
gene_2794	87	108	82	125	157	190
gene_2795	10	14	7	22	46	45
gene_2796	503	726	532	419	500	624
gene_2797	104	150	103	138	156	185
gene_2798	37	36	24	154	221	269
gene_2799	826	1018	727	833	1062	1410
gene_2800	3447	5008	3461	1049	1137	1501
gene_2801	1263	1753	1272	847	882	1178
gene_2802	345	510	358	266	375	472
gene_2803	916	1300	952	466	598	838
gene_2804	211	202	157	180	205	265
gene_2805	112	151	103	58	58	89
gene_2806	188	234	169	116	138	189
gene_2807	367	520	396	160	199	268
gene_2808	1108	1531	1130	496	655	826
gene_2809	86	104	67	217	354	424
gene_2810	262	346	245	165	196	205
gene_2811	23	32	30	21	26	27
gene_2812	50423	74290	57212	11171	19215	24000
gene_2813	352	473	314	237	217	351
gene_2814	26	18	16	13	15	18
gene_2815	182	203	166	110	133	160
gene_2816	146	203	172	43	49	79
gene_2817	184	231	189	215	252	314
gene_2818	3275	4228	3284	489	588	806
gene_2819	67	68	40	84	85	109
gene_2821	288	370	248	166	213	215
gene_2822	162	215	170	168	162	194
gene_2823	7099	10255	7893	3176	3880	5243
gene_2824	35	36	23	40	58	91
gene_2825	2	6	2	5	8	4
